,Percent of Labeled Data,AdaBoost Mean,AdaBoost Std,AdaBoost+SPamCo Mean,AdaBoost+SPamCo Std,RandomForest Mean,RandomForest Std,RandomForest+SPamCo Mean,RandomForest+SPamCo Std,XGBoost Mean,XGBoost Std
0,0.0005,0.7785530326921055,0.06471027105864163,0.7296226216756019,0.08541515777057077,0.837488174077578,0.004974462467286211,0.8394512771996216,0.0007279369935473053,0.8420871439083359,0.0005873056419164476
1,0.001,0.6095474613686533,0.10735376900122795,0.6328077367812467,0.253260824888493,0.8405997056659308,0.0006052353272568113,0.8393566698202459,0.001480760434014382,0.8424156417533901,5.255965520856164e-06
2,0.0015,0.6840428886786503,0.0989932584820136,0.8406916850625461,0.002401924487894399,0.8401766004415011,0.0017584209502910756,0.8402633238725954,0.0014894566123985634,0.8416876905287503,0.0011634991157614568
3,0.002,0.7419715126668768,0.06764653613803609,0.8424130137706298,1.1102230246251565e-16,0.8411016503731737,0.0013651959416747126,0.8405024703037949,0.0009195536620512914,0.8424892252706823,0.0003466945776104125
4,0.0025,0.7631556816987282,0.025494346961229417,0.8424130137706298,1.1102230246251565e-16,0.8411988857353097,0.001286305618815006,0.8402790917691579,0.0009031471015383062,0.8424103857878693,5.255965520900574e-06
5,0.003,0.8024860716913697,0.01427213039995757,0.8424130137706298,1.1102230246251565e-16,0.8411410701145801,0.0009323748034260818,0.8408152002522863,0.00043194955978772767,0.8422448228739621,0.0003363817933354607
6,0.0035,0.8039787658992956,0.015307319446986826,0.8424130137706298,1.1102230246251565e-16,0.8418558814254178,0.0010744111479410845,0.8403815830968149,0.0008961228543647959,0.8416561547356249,0.0009317523902703242
7,0.004,0.8120782087669504,0.012107697548928754,0.8424130137706298,1.1102230246251565e-16,0.8419426048565122,0.0012499477251722612,0.8408493640281721,0.0007598006741229519,0.8420188163565647,0.0014469664487643643
8,0.0045,0.8106748659728792,0.01300013586796863,0.8424077578051088,1.0511931041756739e-05,0.8420240723220855,0.001175463522696659,0.8410412067696835,0.00037696669982216887,0.8424130137706298,1.1102230246251565e-16
9,0.005,0.8190949227373068,0.012658427467080454,0.8424130137706298,1.1102230246251565e-16,0.8410858824766109,0.0008061527199714956,0.8405077262693157,0.000802202230113744,0.8419793966151582,0.0007785218737006777
